energy_ev,gradscf_strength_per_ev,pyscf_strength_per_ev,difference
0.000000000000000000e+00,1.576334649775237112e-107,1.576961971794857181e-107,-6.273220196200689212e-111
4.023152893869078907e-03,3.192137830728497033e-107,3.193333195304495786e-107,-1.195364575998752376e-110
8.046305787738157814e-03,6.457757703368912362e-107,6.460033205046185455e-107,-2.275501677273092840e-110
1.206945868160723759e-02,1.305114921561759506e-106,1.305547655412158739e-106,-4.327338503992337923e-110
1.609261157547631563e-02,2.635012391110617293e-106,2.635834504100890828e-106,-8.221129902735351468e-110
2.011576446934539367e-02,5.314757659019076893e-106,5.316317962534001446e-106,-1.560303514924552248e-109
2.413891736321447518e-02,1.070905549160974773e-105,1.071201386917385266e-105,-2.958377564104929577e-109
2.816207025708355322e-02,2.155687330941263870e-105,2.156247688265562406e-105,-5.603573242985356568e-109
3.218522315095263125e-02,4.334981691731588826e-105,4.336042027586847156e-105,-1.060335855258329770e-108
3.620837604482170929e-02,8.708746795910612915e-105,8.710751216183564439e-105,-2.004420272951523656e-108
4.023152893869078733e-02,1.747796871997232113e-104,1.748175402667020647e-104,-3.785306697885348621e-108
4.425468183255986537e-02,3.504234408014517614e-104,3.504948543000874474e-104,-7.141349863568608272e-108
4.827783472642895035e-02,7.018789850193729885e-104,7.020135792676054993e-104,-1.345942482325107515e-107
5.230098762029802839e-02,1.404423950020645421e-103,1.404677369298554937e-103,-2.534192779095159620e-107
5.632414051416710643e-02,2.807379423677318425e-103,2.807856095804340151e-103,-4.766721270217262443e-107
6.034729340803618447e-02,5.606229803453382041e-103,5.607125512232657381e-103,-8.957087792753398334e-107
6.437044630190526251e-02,1.118426830569409288e-102,1.118594974375168410e-102,-1.681438057591213715e-106
6.839359919577434055e-02,2.229005582448691669e-102,2.229320909977944150e-102,-3.153275292524805491e-106
7.241675208964341859e-02,4.437942112700203037e-102,4.438532871065822723e-102,-5.907583656196861765e-106
7.643990498351249663e-02,8.827119538916196429e-102,8.828225207208801325e-102,-1.105668292604895586e-105
8.046305787738157467e-02,1.753974522284132872e-101,1.754181253861359526e-101,-2.067315772266533728e-105
8.448621077125065271e-02,3.481724882287568176e-101,3.482111032051436475e-101,-3.861497638682994522e-105
8.850936366511973075e-02,6.904504541996045233e-101,6.905225104615298311e-101,-7.205626192530776137e-105
9.253251655898880879e-02,1.367846885622204191e-100,1.367981209953796330e-100,-1.343243315921388076e-104
9.655566945285790070e-02,2.707131486287737776e-100,2.707381638679321886e-100,-2.501523915841099900e-104
1.005788223467269787e-01,5.352394455515348086e-100,5.352859850447308631e-100,-4.653949319605454786e-104
1.046019752405960568e-01,1.057191766257949142e-99,1.057278264178226508e-99,-8.649792027736572585e-104
1.086251281344651348e-01,2.086057762696873354e-99,2.086218366829013688e-99,-1.606041321403340507e-103
1.126482810283342129e-01,4.112120053890564342e-99,4.112417956842771738e-99,-2.979029522073953505e-103
1.166714339222032909e-01,8.097894957084654248e-99,8.098446983614669218e-99,-5.520265300149702309e-103
1.206945868160723689e-01,1.593108630331913340e-98,1.593210821215222679e-98,-1.021908833093389888e-102
1.247177397099414470e-01,3.131017821310268517e-98,3.131206808090624199e-98,-1.889867803556813756e-102
1.287408926038105250e-01,6.147415766986063409e-98,6.147764921596142194e-98,-3.491546100787853844e-102
1.327640454976796169e-01,1.205775712099263034e-97,1.205840154428097769e-97,-6.444232883473502312e-102
1.367871983915486811e-01,2.362693434508989276e-97,2.362812255118519915e-97,-1.188206095306388277e-101
1.408103512854177730e-01,4.625035975050729424e-97,4.625254841626008909e-97,-2.188665752794853371e-101
1.448335041792868372e-01,9.044608099559089231e-97,9.045010848343147610e-97,-4.027487840583782029e-101
1.488566570731559291e-01,1.766978601646224924e-96,1.767052639901655631e-96,-7.403825543070673566e-101
1.528798099670249933e-01,3.448575388755642711e-96,3.448711359437603933e-96,-1.359706819612214852e-100
1.569029628608940852e-01,6.723804177101880114e-96,6.724053637464077176e-96,-2.494603621970622024e-100
