state_index,gradscf_energy_ev,pyscf_energy_ev,gradscf_strength,pyscf_strength
0.000000000000000000e+00,2.603061806247360721e+00,2.603061806188431859e+00,8.322090865302093301e-26,4.519358977773877989e-21
1.000000000000000000e+00,2.603061806247372267e+00,2.603061806188467386e+00,3.655633006671313214e-26,4.551922717130852790e-21
2.000000000000000000e+00,2.603061806247377596e+00,2.603061806232317643e+00,4.498998054098333128e-26,8.990202075386844655e-26
3.000000000000000000e+00,2.848517211080731748e+00,2.848517211011130978e+00,6.075186497842429034e+00,6.075186497940650021e+00
4.000000000000000000e+00,2.848517211080753953e+00,2.848517211051169618e+00,6.075186497842274491e+00,6.075186497871500890e+00
5.000000000000000000e+00,2.848517211080800582e+00,2.848517211051185605e+00,6.075186497841662536e+00,6.075186497871476021e+00
6.000000000000000000e+00,3.583603323229170634e+00,3.583603323182570133e+00,5.289721760436935477e-27,4.529855359797056957e-21
7.000000000000000000e+00,3.583603323229185733e+00,3.583603323182618539e+00,2.449606372735367557e-27,4.526630137318404247e-21
8.000000000000000000e+00,4.358026042472938677e+00,4.358026042425553470e+00,1.539065900243227425e+00,1.539065900268774101e+00
9.000000000000000000e+00,4.358026042472975092e+00,4.358026042465828809e+00,1.539065900242881479e+00,1.539065900228945072e+00
1.000000000000000000e+01,4.358026042473005290e+00,4.358026042465861671e+00,1.539065900242804874e+00,1.539065900228942851e+00
1.100000000000000000e+01,4.849725262125767600e+00,4.849725262073455667e+00,2.967983702517154995e-26,1.713122619293770830e-23
1.200000000000000000e+01,1.662644543253042428e+01,1.662644543246696571e+01,1.248100809418798730e-02,1.248100809467582104e-02
1.300000000000000000e+01,1.662644543253043850e+01,1.662644543252084617e+01,1.248100809418789536e-02,1.248100809460488125e-02
1.400000000000000000e+01,1.662644543253047758e+01,1.662644543252092433e+01,1.248100809418805843e-02,1.248100809460495238e-02
1.500000000000000000e+01,1.811576446934539319e+01,1.811576446934205364e+01,7.171855309002898622e-29,1.667328765765454255e-27
