k_index,band_index,distance_bohr_inv,kx,ky,kz,gradscf_hartree,pyscf_hartree,difference_ev
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.823855358673911242e-01,-2.823855358676854999e-01,8.010369104831346894e-12
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.932235393814556335e-01,4.932235393811125190e-01,9.336619165936744579e-12
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.932235393814557445e-01,4.932235393811134627e-01,9.313961135280046638e-12
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.932235393814560775e-01,4.932235393819256464e-01,-1.277761875500063509e-11
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.248829743257491076e-01,7.248829743237742429e-01,5.373880657617952093e-11
0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.248829743257496627e-01,7.248829743249354252e-01,2.215653291149654991e-11
0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.248829743257501068e-01,7.248829743249394220e-01,2.205985864736130364e-11
0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.064624347297893348e+00,1.064624347297410845e+00,1.312957349786801322e-11
1.000000000000000000e+00,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,-2.800223998531076730e-01,-2.800223998534044911e-01,8.076832661424328707e-12
1.000000000000000000e+00,1.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,4.832619093765690432e-01,4.832619093761870155e-01,1.039550446529310462e-11
1.000000000000000000e+00,2.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,4.832619093765692098e-01,4.832619093763766416e-01,5.240047223205721746e-12
1.000000000000000000e+00,3.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,4.872428495594078868e-01,4.872428495589377073e-01,1.279423464414888014e-11
1.000000000000000000e+00,4.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.245529861868935662e-01,7.245529861862688437e-01,1.699956513403205260e-11
1.000000000000000000e+00,5.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.369374912731918581e-01,7.369374912721652349e-01,2.793584126433168702e-11
1.000000000000000000e+00,6.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.369374912731927463e-01,7.369374912724321325e-01,2.069735573720519022e-11
1.000000000000000000e+00,7.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,7.767775153132457089e-02,0.000000000000000000e+00,1.066895214490082955e+00,1.066895214489464783e+00,1.682132195953269633e-11
2.000000000000000000e+00,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,-2.729457964398220304e-01,-2.729457964401260650e-01,8.273202260449045274e-12
2.000000000000000000e+00,1.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,4.584346335020140217e-01,4.584346335014097829e-01,1.644217757987728099e-11
2.000000000000000000e+00,2.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,4.584346335020149099e-01,4.584346335015349605e-01,1.306008887052080577e-11
2.000000000000000000e+00,3.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,4.699440168697527898e-01,4.699440168688591712e-01,2.431659850076843862e-11
2.000000000000000000e+00,4.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,7.235692196974682355e-01,7.235692196974832235e-01,-4.078445518205664258e-13
2.000000000000000000e+00,5.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,7.679988557263148774e-01,7.679988557257029225e-01,1.665214199729601535e-11
2.000000000000000000e+00,6.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,7.679988557263156546e-01,7.679988557259311843e-01,1.046196802188608482e-11
2.000000000000000000e+00,7.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.553555030626491418e-01,0.000000000000000000e+00,1.072680366178624833e+00,1.072680366177979350e+00,1.756450536507239397e-11
3.000000000000000000e+00,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,-2.611990718944409706e-01,-2.611990718947372336e-01,8.061727307653195669e-12
3.000000000000000000e+00,1.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,4.270162141854791371e-01,4.270162141848886650e-01,1.606756480635320491e-11
3.000000000000000000e+00,2.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,4.270162141854795257e-01,4.270162141849334625e-01,1.485913650466263620e-11
3.000000000000000000e+00,3.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,4.429460881700899022e-01,4.429460881694413654e-01,1.764758481081361922e-11
3.000000000000000000e+00,4.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,7.220395332809940170e-01,7.220395332806988087e-01,8.033027135488044836e-12
3.000000000000000000e+00,5.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,8.096373280544976181e-01,8.096373280540180017e-01,1.305102565825812563e-11
3.000000000000000000e+00,6.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,8.096373280544981732e-01,8.096373280541137030e-01,1.046196802188608482e-11
3.000000000000000000e+00,7.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,2.330332545939737265e-01,0.000000000000000000e+00,1.079255492401431482e+00,1.079255492400983618e+00,1.218699942254937014e-11
4.000000000000000000e+00,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,-2.448666427964831527e-01,-2.448666427967860493e-01,8.242236285218224809e-12
4.000000000000000000e+00,1.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.943479174304268531e-01,3.943479174298913925e-01,1.457062424763401263e-11
4.000000000000000000e+00,2.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.943479174304276302e-01,3.943479174299115431e-01,1.404344740102150385e-11
4.000000000000000000e+00,3.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,4.082044190240088910e-01,4.082044190236493453e-01,9.783737637562255359e-12
4.000000000000000000e+00,4.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,7.203465843277359060e-01,7.203465843270155933e-01,1.960070705342100082e-11
4.000000000000000000e+00,5.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,8.561889062282047602e-01,8.561889062276970552e-01,1.381535655907740920e-11
4.000000000000000000e+00,6.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,8.561889062282067586e-01,8.561889062277494578e-01,1.244379043665861563e-11
4.000000000000000000e+00,7.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,3.107110061252982836e-01,0.000000000000000000e+00,1.082998770742259920e+00,1.082998770741818495e+00,1.201177731880423789e-11
5.000000000000000000e+00,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,-2.240825060394246726e-01,-2.240825060397342305e-01,8.423500530471809954e-12
5.000000000000000000e+00,1.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.632118999131512815e-01,3.632118999125699688e-01,1.581832646912952594e-11
5.000000000000000000e+00,2.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.632118999131516701e-01,3.632118999127058601e-01,1.213110961359618210e-11
5.000000000000000000e+00,3.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.675254134755806534e-01,3.675254134751332336e-01,1.217491513953246436e-11
5.000000000000000000e+00,4.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,7.192438585965612585e-01,7.192438585960156949e-01,1.484554168626861840e-11
5.000000000000000000e+00,5.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,9.043095426338946252e-01,9.043095426332451447e-01,1.767326391222454603e-11
5.000000000000000000e+00,6.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,9.043095426338949583e-01,9.043095426335918674e-01,8.247523159038121695e-12
5.000000000000000000e+00,7.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,3.883887576566228961e-01,0.000000000000000000e+00,1.080203620768903860e+00,1.080203620768283246e+00,1.688778551612567653e-11
6.000000000000000000e+00,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,-1.990329049783702009e-01,-1.990329049786891957e-01,8.680291544581055442e-12
6.000000000000000000e+00,1.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,3.224148507672093822e-01,3.224148507666536601e-01,1.512196966028033620e-11
6.000000000000000000e+00,2.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,3.350605753857078262e-01,3.350605753851184643e-01,1.603735409881093884e-11
6.000000000000000000e+00,3.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,3.350605753857082147e-01,3.350605753852830548e-01,1.156919045331006799e-11
6.000000000000000000e+00,4.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,7.198192083029050226e-01,7.198192083026080379e-01,8.081364267555667972e-12
6.000000000000000000e+00,5.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,9.516861994803172964e-01,9.516861994796256274e-01,1.882127079883058582e-11
6.000000000000000000e+00,6.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,9.516861994803184066e-01,9.516861994801014690e-01,5.903172253758420588e-12
6.000000000000000000e+00,7.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,4.660665091879474531e-01,0.000000000000000000e+00,1.067799453765441831e+00,1.067799453764748607e+00,1.886356578938975445e-11
7.000000000000000000e+00,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,-1.699530545423027783e-01,-1.699530545426237715e-01,8.734670818157131471e-12
7.000000000000000000e+00,1.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,2.741587998689816730e-01,2.741587998684990035e-01,1.313410510399935249e-11
7.000000000000000000e+00,2.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,3.106742672221131096e-01,3.106742672215752066e-01,1.463708780422699605e-11
7.000000000000000000e+00,3.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,3.106742672221136647e-01,3.106742672216561973e-01,1.244832204278995490e-11
7.000000000000000000e+00,4.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,7.233773947654213998e-01,7.233773947650224967e-01,1.085470721993551957e-11
7.000000000000000000e+00,5.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,9.963583648511700197e-01,9.963583648505964785e-01,1.560685151633367634e-11
7.000000000000000000e+00,6.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,9.963583648511713520e-01,9.963583648508604895e-01,8.458998111833969685e-12
7.000000000000000000e+00,7.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,5.437442607192720656e-01,0.000000000000000000e+00,1.044079752498313196e+00,1.044079752497800495e+00,1.395130474301759846e-11
8.000000000000000000e+00,0.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,-1.371178982153718473e-01,-1.371178982157017501e-01,8.977111746183801542e-12
8.000000000000000000e+00,1.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,2.239650550769682891e-01,2.239650550765351911e-01,1.178519701223725686e-11
8.000000000000000000e+00,2.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,2.904698659939689009e-01,2.904698659934812910e-01,1.326854275256242812e-11
8.000000000000000000e+00,3.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,2.904698659939691230e-01,2.904698659934877303e-01,1.309936279032574876e-11
8.000000000000000000e+00,4.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,7.313062230506115480e-01,7.313062230501415906e-01,1.278819250264042725e-11
8.000000000000000000e+00,5.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,6.214220122505965671e-01,0.000000000000000000e+00,1.009367069557313590e+00,1.009367069556848850e+00,1.264620217719178509e-11
