k_index,band_index,distance_bohr_inv,kx,ky,kz,gradscf_hartree,pyscf_hartree,difference_ev
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.065107827147162067e-01,-2.065107827146664687e-01,-1.353439697893435295e-12
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.471297078045232576e-01,2.471297078047952345e-01,-7.400868080166167267e-12
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.471297078045235351e-01,2.471297078047960949e-01,-7.416728701625856310e-12
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.471297078045238682e-01,2.471297078060688268e-01,-4.204046534812627742e-11
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.513062227657564596e-01,3.513062227635124768e-01,6.106188208442436145e-11
0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.513062227657571257e-01,3.513062227654592529e-01,8.105532833589479540e-12
0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.513062227657572922e-01,3.513062227654610847e-01,8.060216772276083658e-12
0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.718456457153241912e-01,3.718456457153666017e-01,-1.154049028114491675e-12
1.000000000000000000e+00,0.000000000000000000e+00,5.102698705566017373e-02,0.000000000000000000e+00,5.102698705566017373e-02,0.000000000000000000e+00,-2.054213626267906156e-01,-2.054213626267422377e-01,-1.316431581154161735e-12
1.000000000000000000e+00,1.000000000000000000e+00,5.102698705566017373e-02,0.000000000000000000e+00,5.102698705566017373e-02,0.000000000000000000e+00,2.385448085762689463e-01,2.385448085765088932e-01,-6.529289167571846073e-12
